Workweek,Demand
2022-01,40299
2022-02,40978
2022-03,41664
2022-04,42351
2022-05,43032
2022-06,43700
2022-07,44350
2022-08,44976
2022-09,45570
2022-10,46128
2022-11,46645
2022-12,47115
2022-13,47535
2022-14,47901
2022-15,48208
2022-16,48456
2022-17,48641
2022-18,48761
2022-19,48818
2022-20,48809
2022-21,48736
2022-22,48600
2022-23,48402
2022-24,48146
2022-25,47833
2022-26,47468
2022-27,47055
2022-28,46598
2022-29,46102
2022-30,45573
2022-31,45017
2022-32,44439
2022-33,43846
2022-34,43244
2022-35,42640
2022-36,42040
2022-37,41451
2022-38,40879
2022-39,40330
2022-40,39810
2022-41,39325
2022-42,38881
2022-43,38482
2022-44,38132
2022-45,37835
2022-46,37596
2022-47,37416
2022-48,37299
2022-49,37245
2022-50,37256
2022-51,37331
2022-52,37471
2023-01,37675
2023-02,37940
2023-03,38265
2023-04,38647
2023-05,39083
2023-06,39567
2023-07,40097
2023-08,40666
2023-09,41271
2023-10,41904
2023-11,42560
2023-12,43233
2023-13,43916
2023-14,44603
2023-15,45288
2023-16,45963
2023-17,46623
2023-18,47262
2023-19,47872
2023-20,48449
2023-21,48987
2023-22,49481
2023-23,49927
2023-24,50320
2023-25,50657
2023-26,50935
2023-27,51151
2023-28,51304
2023-29,51393
2023-30,51417
2023-31,51376
2023-32,51271
2023-33,51104
2023-34,50876
2023-35,50591
2023-36,50252
2023-37,49862
2023-38,49427
2023-39,48950
2023-40,48437
2023-41,47893
2023-42,47325
2023-43,46739
2023-44,46141
2023-45,45537
2023-46,44934
2023-47,44339
2023-48,43757
2023-49,43196
2023-50,42661
2023-51,42158
2023-52,41693
