,Week,Predicted_Mean,Lower Bound,Upper Bound
0,182,36736.566310731825,33963.39193083627,39509.74069062738
1,183,36435.492943464225,32779.77410332614,40091.21178360231
2,184,36027.63704405134,31836.62372710065,40218.65036100203
3,185,36129.13807524743,31580.944934726787,40677.33121576807
4,186,36446.036943574334,31648.56784099264,41243.50604615603
5,187,37548.611021403136,32572.4074905038,42524.81455230247
6,188,36820.52508440231,31713.738893079615,41927.311275725006
7,189,37442.94554647417,32239.37015433774,42646.5209386106
8,190,39132.29900772725,33856.11881720579,44408.47919824871
9,191,40802.644205975725,35471.42527780809,46133.86313414336
10,192,40341.720500716394,34968.37584188149,45715.0651595513
11,193,40077.88790650873,34672.00817375144,45483.76763926602
12,194,40727.82349752237,35296.59784322907,46159.04915181566
13,195,40516.11030182157,35064.97410605474,45967.24649758841
14,196,41615.498553889054,36148.594888652304,47082.402219125805
15,197,41475.23780448001,35995.7496062453,46954.72600271473
16,198,41091.14584959159,35601.53711327692,46580.75458590625
17,199,42265.711352432474,36767.903597280725,47763.51910758422
18,200,41803.20553396653,36298.70778071349,47307.70328721957
19,201,41680.38186953176,36170.38692651695,47190.37681254657
20,202,42102.540602289766,36587.996682743775,47617.08452183576
21,203,42886.3483384828,37368.012345096766,48404.68433186883
22,204,43992.076390328475,38470.55321449758,49513.59956615937
23,205,44403.028958546296,38878.799558454026,49927.258358638566
24,206,44173.478207165215,38646.91780291244,49700.03861141799
25,207,44125.63191893662,38597.01813715229,49654.245700720945
26,208,44839.51607899027,39309.126625374316,50369.90553260623
27,209,43246.10121995184,37714.098681303556,48778.10375860012
28,210,44074.27758501302,38540.912959462694,49607.64221056335
29,211,43436.46228229184,37901.945874464625,48970.97869011905
30,212,43404.5721930103,37869.08070939338,48940.06367662722
31,213,42495.578637525156,36959.26084571182,48031.89642933849
32,214,42430.29450648978,36893.27582419735,47967.31318878221
33,215,42590.92954439959,37053.315803894155,48128.54328490502
34,216,42087.08898525714,36548.96954706961,47625.208423444674
35,217,41283.028230617616,35744.478574652734,46821.5778865825
36,218,40061.0653012131,34522.149192601835,45599.981409824366
37,219,39169.095972015064,33629.8672775264,44708.32466650373
38,220,39032.73421744991,33493.238432653685,44572.23000224614
39,221,37805.8542870975,32266.129822784347,43345.57875141065
40,222,37596.470299968074,32056.549567365586,43136.39103257056
41,223,38557.86315298115,33017.77348027824,44097.95282568405
42,224,37901.52751568099,32361.291922770033,43441.76310859194
43,225,37941.848907659056,32401.48676147683,43482.21105384128
44,226,37945.87348304868,32405.40105219438,43486.34591390298
45,227,38188.44978185089,32647.880706099477,43729.0188576023
46,228,38170.90858620434,32630.25427397489,43711.5628984338
47,229,38553.959056979365,33013.229021643114,44094.68909231562
48,230,39376.86898995281,33836.071133964324,44917.6668459413
49,231,39285.00691901001,33744.14777309743,44825.86606492259
50,232,39008.35339415509,33467.438317057786,44549.2684712524
51,233,39711.24722398363,34170.28056624538,45252.21388172187
52,234,40088.483908195194,34216.18765065528,45960.78016573511
53,235,39567.13481391399,33455.979887004396,45678.28974082358
54,236,39069.64969389357,32782.72578343976,45356.57360434737
55,237,39050.20274153564,32631.89006241178,45468.5154206595
56,238,39330.949090725306,32813.14673394032,45848.751447510294
57,239,40528.89303334935,33934.90833870171,47122.87772799699
58,240,39591.44477079156,32938.53585740088,46244.35368418224
59,241,40153.29688241598,33454.38925991383,46852.20450491814
60,242,41930.57779830972,35195.45104985046,48665.70454676898
61,243,43697.53404778627,36933.65701543224,50461.4110801403
62,244,43157.41585464017,36370.542813924156,49944.28889535618
63,245,42814.83158602058,36009.432784807854,49620.2303872333
64,246,43487.77750734983,36667.353200030695,50308.20181466896
65,247,43298.94817372476,36466.25972010614,50131.63662734338
66,248,44436.391960474735,37593.633291154605,51279.150629794865
67,249,44292.38889051866,37441.31471658485,51143.46306445247
68,250,43948.726414039695,37090.7488072395,50806.70402083989
69,251,45274.966240252594,38411.22790057214,52138.704579933044
70,252,44541.636911324356,37673.067102447996,51410.20672020072
71,253,44307.97597041297,37435.33342739928,51180.618513426656
72,254,44660.38768988871,37784.29357119152,51536.4818085859
73,255,45607.313491402296,38728.27649898276,52486.35048382183
74,256,46739.06190765273,39857.49690132476,53620.6269139807
75,257,47170.685124546,40286.92577764858,54054.444471443414
76,258,46938.19745528762,40052.50257842746,53823.89233214778
77,259,46891.95755775506,40004.50943604083,53779.40567946928
